Longitude,Latitude,Pixel,Scan
32.5047989,-69.0094651,11800,200
32.5072714,-69.0094928,11900,200
32.5097193,-69.0095203,11999,200
32.214125,-69.0068598,0,300
32.2165782,-69.0068911,100,300
32.2190315,-69.0069225,200,300
32.221485,-69.0069538,300,300
32.2239387,-69.0069851,400,300
32.2263925,-69.0070163,500,300
32.2288465,-69.0070475,600,300
32.2313006,-69.0070787,700,300
32.2337549,-69.0071099,800,300
32.2362094,-69.007141,900,300
32.238664,-69.0071721,1000,300
32.2411188,-69.0072032,1100,300
32.2435738,-69.0072342,1200,300
32.2460289,-69.0072652,1300,300
32.2484842,-69.0072962,1400,300
32.2509396,-69.0073271,1500,300
32.2533952,-69.0073581,1600,300
32.255851,-69.0073889,1700,300
32.2583069,-69.0074198,1800,300
32.260763,-69.0074506,1900,300
32.2632193,-69.0074814,2000,300
32.2656757,-69.0075122,2100,300
32.2681323,-69.0075429,2200,300
32.270589,-69.0075736,2300,300
32.2730459,-69.0076042,2400,300
32.275503,-69.0076349,2500,300
32.2779603,-69.0076655,2600,300
32.2804177,-69.0076961,2700,300
32.2828752,-69.0077266,2800,300
32.2853329,-69.0077571,2900,300
32.2877908,-69.0077876,3000,300
32.2902489,-69.007818,3100,300
32.2927071,-69.0078485,3200,300
32.2951655,-69.0078789,3300,300
32.297624,-69.0079092,3400,300
32.3000827,-69.0079395,3500,300
32.3025416,-69.0079698,3600,300
32.3050006,-69.0080001,3700,300
32.3074598,-69.0080303,3800,300
32.3099192,-69.0080605,3900,300
32.3123787,-69.0080907,4000,300
32.3148384,-69.0081208,4100,300
32.3172983,-69.008151,4200,300
32.3197583,-69.008181,4300,300
32.3222185,-69.0082111,4400,300
32.3246788,-69.0082411,4500,300
32.3271393,-69.0082711,4600,300
32.3296,-69.008301,4700,300
32.3320608,-69.008331,4800,300
32.3345218,-69.0083609,4900,300
32.336983,-69.0083907,5000,300
32.3394443,-69.0084205,5100,300
32.3419058,-69.0084503,5200,300
32.3443675,-69.0084801,5300,300
32.3468293,-69.0085099,5400,300
32.3492913,-69.0085396,5500,300
32.3517535,-69.0085692,5600,300
32.3542158,-69.0085989,5700,300
32.3566783,-69.0086285,5800,300
32.3591409,-69.0086581,5900,300
32.3616037,-69.0086876,6000,300
32.3640667,-69.0087172,6100,300
32.3665298,-69.0087466,6200,300
32.3689931,-69.0087761,6300,300
32.3714566,-69.0088055,6400,300
32.3739202,-69.0088349,6500,300
32.376384,-69.0088643,6600,300
32.378848,-69.0088936,6700,300
32.3813121,-69.0089229,6800,300
32.3837764,-69.0089522,6900,300
32.3862409,-69.0089814,7000,300
32.3887055,-69.0090106,7100,300
32.3911703,-69.0090398,7200,300
32.3936352,-69.009069,7300,300
32.3961004,-69.0090981,7400,300
32.3985656,-69.0091272,7500,300
32.4010311,-69.0091562,7600,300
32.4034967,-69.0091853,7700,300
32.4059625,-69.0092142,7800,300
32.4084284,-69.0092432,7900,300
32.4108945,-69.0092721,8000,300
32.4133608,-69.009301,8100,300
32.4158272,-69.0093299,8200,300
32.4182939,-69.0093587,8300,300
32.4207606,-69.0093875,8400,300
32.4232276,-69.0094163,8500,300
32.4256947,-69.0094451,8600,300
32.4281619,-69.0094738,8700,300
32.4306294,-69.0095024,8800,300
32.433097,-69.0095311,8900,300
32.4355647,-69.0095597,9000,300
32.4380327,-69.0095883,9100,300
32.4405008,-69.0096169,9200,300
32.442969,-69.0096454,9300,300
32.4454375,-69.0096739,9400,300
32.4479061,-69.0097023,9500,300
32.4503748,-69.0097308,9600,300
32.4528437,-69.0097592,9700,300
32.4553128,-69.0097875,9800,300
32.4577821,-69.0098159,9900,300
32.4602515,-69.0098442,10000,300
32.4627211,-69.0098724,10100,300
32.4651909,-69.0099007,10200,300
32.4676608,-69.0099289,10300,300
32.4701309,-69.0099571,10400,300
32.4726011,-69.0099852,10500,300
32.4750716,-69.0100133,10600,300
32.4775422,-69.0100414,10700,300
32.4800129,-69.0100695,10800,300
32.4824838,-69.0100975,10900,300
32.4849549,-69.0101255,11000,300
32.4874262,-69.0101535,11100,300
32.4898976,-69.0101814,11200,300
32.4923692,-69.0102093,11300,300
32.494841,-69.0102371,11400,300
32.4973129,-69.010265,11500,300
32.499785,-69.0102928,11600,300
32.5022572,-69.0103206,11700,300
32.5047297,-69.0103483,11800,300
32.5072022,-69.010376,11900,300
32.5096503,-69.0104034,11999,300
32.214046,-69.0077429,0,400
32.2164993,-69.0077743,100,400
32.2189527,-69.0078056,200,400
32.2214063,-69.0078369,300,400
32.2238601,-69.0078682,400,400
32.226314,-69.0078995,500,400
32.228768,-69.0079307,600,400
32.2312223,-69.0079619,700,400
32.2336767,-69.007993,800,400
32.2361312,-69.0080242,900,400
32.2385859,-69.0080552,1000,400
32.2410408,-69.0080863,1100,400
32.2434959,-69.0081174,1200,400
32.2459511,-69.0081484,1300,400
32.2484065,-69.0081793,1400,400
32.250862,-69.0082103,1500,400
32.2533177,-69.0082412,1600,400
32.2557735,-69.0082721,1700,400
32.2582296,-69.0083029,1800,400
32.2606858,-69.0083337,1900,400
32.2631421,-69.0083645,2000,400
32.2655986,-69.0083953,2100,400
32.2680553,-69.008426,2200,400
32.2705121,-69.0084567,2300,400
32.2729691,-69.0084874,2400,400
32.2754263,-69.008518,2500,400
32.2778836,-69.0085486,2600,400
32.2803411,-69.0085792,2700,400
32.2827988,-69.0086097,2800,400
32.2852566,-69.0086403,2900,400
32.2877146,-69.0086707,3000,400
32.2901727,-69.0087012,3100,400
32.292631,-69.0087316,3200,400
32.2950895,-69.008762,3300,400
32.2975481,-69.0087923,3400,400
32.3000069,-69.0088227,3500,400
32.3024659,-69.008853,3600,400
32.304925,-69.0088832,3700,400
32.3073843,-69.0089135,3800,400
32.3098438,-69.0089437,3900,400
32.3123034,-69.0089738,4000,400
32.3147632,-69.009004,4100,400
32.3172231,-69.0090341,4200,400
32.3196832,-69.0090642,4300,400
32.3221435,-69.0090942,4400,400
32.3246039,-69.0091242,4500,400
32.3270645,-69.0091542,4600,400
32.3295253,-69.0091842,4700,400
32.3319862,-69.0092141,4800,400
32.3344473,-69.009244,4900,400
32.3369086,-69.0092739,5000,400
32.33937,-69.0093037,5100,400
32.3418316,-69.0093335,5200,400
32.3442933,-69.0093633,5300,400
